Pergunta;Resposta
RAM × HD/SSD?;RAM=volátil; HD/SSD=permanente
O que é driver?;Software que faz o SO controlar o hardware
Hardware × software?;físico × programas
Atalho no Windows é o arquivo?;Não — só aponta
Intranet × internet?;intranet=interna; internet=pública
Função do DNS?;Traduz nome (URL) em IP
Função do DHCP?;Distribui IP automaticamente
HTTPS × HTTP?;HTTPS tem criptografia
O que é phishing?;Golpe para roubar dados (e-mail/site falso)
Malware é o mesmo que vírus?;Malware=genérico; vírus=um tipo
Cco no e-mail serve para?;Cópia oculta
Regra de backup 3-2-1?;3 cópias; 2 mídias; 1 off-site
Win+L faz o quê?;Bloqueia o PC
No Excel, fórmula começa com?;=
Referência absoluta no Excel?;$A$1
Animação × transição (PowerPoint)?;animação=objetos; transição=entre slides
Linux: pasta raiz?;/
Comando Linux para listar?;ls
Ransomware faz o quê?;Criptografa dados e pede resgate
Switch × roteador?;switch=LAN; roteador=redes/internet
MFA / 2FA?;Segundo fator além da senha
Princípios CIA?;Confidencialidade; Integridade; Disponibilidade
