Pergunta;Resposta
Fórmula do juro simples?;J=C*i*t | M=C(1+i*t)
Aumentar 20% — multiplicar por?;1,20
Desconto de 15% — multiplicar por?;0,85
MMC serve para quê?;Menor múltiplo comum — ciclos/denominadores
MDC serve para quê?;Maior divisor comum — grupos iguais
Regra de três inversa: mais trabalhadores → ?;Menos dias
Média ponderada 7 (peso 2) e 9 (peso 3)?;(14+27)/5=8,2
Área do triângulo?;(base*altura)/2
Teorema de Pitágoras?;a²+b²=c² (c=hipotenusa)
Trio pitagórico clássico?;3-4-5
Perímetro × área?;perímetro=contorno; área=superfície
10% de 350?;35
Relação MMC e MDC (dois números)?;MMC*MDC=a*b
Volume do paralelepípedo?;C*L*A
Em a/b=c/d vale?;a*d=b*c
